Observation,Data_Marking,Observation_Type_Value,Dimension_Hierarchy_1,Dimension_Name_1,Dimension_Value_1,Dimension_Hierarchy_2,Dimension_Name_2,Dimension_Value_2,Dimension_Hierarchy_3,Dimension_Name_3,Dimension_Value_3,Dimension_Hierarchy_4,Dimension_Name_4,Dimension_Value_4
36929,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000072,CL_0000737,Prodcom Elements,CI_0021509
2229725,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000072,CL_0000737,Prodcom Elements,CI_0021510
2266654,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000072,CL_0000737,Prodcom Elements,CI_0021511
3404,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000072,CL_0000737,Prodcom Elements,CI_0021512
4333,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000072,CL_0000737,Prodcom Elements,CI_0021513
766,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000072,CL_0000737,Prodcom Elements,CI_0021514
96526,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000072,CL_0000737,Prodcom Elements,CI_0021515
-1917072,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000072,CL_0000737,Prodcom Elements,CI_0021516
454610,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000072,CL_0000737,Prodcom Elements,CI_0021517
19617,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0013924,CL_0000737,Prodcom Elements,CI_0021509
0,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0013924,CL_0000737,Prodcom Elements,CI_0021514
133127,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0013924,CL_0000737,Prodcom Elements,CI_0021516
17312,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0013930,CL_0000737,Prodcom Elements,CI_0021509
3176,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0013930,CL_0000737,Prodcom Elements,CI_0021513
0,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0013930,CL_0000737,Prodcom Elements,CI_0021514
2071,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0013930,CL_0000737,Prodcom Elements,CI_0021515
-22730,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0013930,CL_0000737,Prodcom Elements,CI_0021516
20895,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0013930,CL_0000737,Prodcom Elements,CI_0021517
62831139,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000363,CL_0000737,Prodcom Elements,CI_0021509
